"title","category"
"Study of gene expression in peripheral blood mononuclear cells from cattle infected with bovine tuberculosis","Biology"
"Applications of CAD software tools for the terahertz waveband and the development of a dual-modality medical imaging facility.","Technology"
"Quantum genetic algorithm for spin systems","Physics"
"Electron wave propoagation in semiconductor alloys","Physics"
"Peptide mimics of nitrile hydratases:  crystallographic and mechanistic studies.","Biology"
"Peptide mimics of nitrile hydratases:  crystallographic and mechanistic studies.","Biology"
"Improving quantitative atomic force microscope measurements","Physics"
"Establishing in ovo electroporation to introduce DNA into the chick embryo: a model for Wnt signal pathway interference in the developing limb","Mathematics"
"Experimental validation of a RRM scheme for QoS provisioning in IEEE 802.11e wireless LANs","Others"
"Molecular analysis of complement factor C3 binding by surface protein Sas I of Staphylococcus aureus","Chemistry"
"Vector contruction for silencing the sphingosine transfer protein in plants using RNA interference.","Biology"
"New approaches to high frequency non-linear active semiconductor device modelling","Engineering"
"shRNA-based suppression of photoreceptor genes in retinal explants","Biology"
"MESH networking","Technology"
"Archival observations of the black hole binary GRO J0422+32","Others"
"Cannabinoids and p53 signalling in the brain.","Biology"
"A chemical re-investigation of the Mourne Mountains","Chemistry"
"Equipment Supplement - Genetic analysis of synaptic signalling mechanisms in Drosophila and their roles in function and plasticity of the brain.","Biology"
"SFI Research Professorship - Programme in BioMEMS (Biomedical Micro-Electro-Mechanical Systems)","Biology"
"Silicon on Insulator Nanostructures","Others"
"An automated drilling process for critical surgical procedures based on advanced digital acoustic analysis and motor control techniques so as to enhance procedure safety and reliability.","Technology"
"Palynological correlation of  Mississippian (Carboniferous) stage boundaries in Western Europe and the USA","Others"
"Evaluation of sentient object middleware for sensor networks","Technology"
"Growth hormone polymorphism and early embryo development","Technology"
"Effects of progesterone on early embryo development","Technology"
"Calis[4]arenes and homooxacalix[3]arenes as receptors for the selective sensing of biologically active ions","Biology"
"Application of Co-doped ZnO films in multilayer devices","Engineering"
"Epigenetics of gene dosage","Biology"
"Anaerobic granular and synthetic biofilms for new low temperature bioreactor applications: formation growth and eco-engineering.","Engineering"
"SFI Research Professor of Software Engineering - Supporting Service-Oriented SoftwareDevelopment","Technology"
"Tissue Engineering for Repair of Spinal Cord Injury","Engineering"
"CdTe quantum dots for luminescent labelling of cells and for nanophotonic devices base on photonic methods","Physics"
"The use of pyrrolo-15-benzoxapines as powerful probes to dissect components of apoptotic cell death signalling and their development as anti-cancer therapeutics","Biology"
"The molecular mechanisms of CD44-mediated T cell migration","Chemistry"
"X-ray Crystallographic Studies of Poxvirus-mediated Antagonism of TLR signaling","Biology"
"K7R: a novel vaccinia virus protein that targets mammalian intracellular proteins to modulate host gene expression","Biology"
"Role of CD1d isoforms and reactive cells in regulating immune responses to malignancy","Biology"
"The role of CD1d-restricted natural killer T cells in dendritic cell maturation and differentiation","Technology"
"The role of the transcriptional co-regulator CITED1 in the developing mouse mammary gland","Others"
"Cooperation of DNA Polymerase alpha-Primase and Replication Protein A to Initiate Eukaryotic DNA Replication","Chemistry"
"Identification of meiotic substrates and regulators of the Polo-like kinase Cdc5","Others"
"IGF-I/Insulin-mediated regulation of the mitochondrial carrier protein family in metabolism and disease","Biology"
"The investigation of the catechol-O-methyltransferase mutant mouse following exposure to cannabis during adolescence; a model for a gene-environment interaction and increased vulnerability to schizophrenia.","Technology"
"Elucidating the cellular mechanisms of Diabetic Nephropathy using Connective Tissue Growth Factor (CTGF) promoter mediated gene expression and deletion in mice","Biology"
"Identification of markers of plaque rupture","Others"
"Construction and development of novel and improved Semliki Forest virus vectors for RNA-based transient gene therapy","Biology"
"Characterisation of serotonin transporter-associated protein complexes in lipid microdomains - a proteomics approach","Biology"
"Exploration of methods to provide sustained expression of TRH peptide in a target tissue and investigation of the neuroprotective properties of TRH","Biology"
"Neural stem cells in growth and repair of the central nervous system","Biology"
"Genetic modification of the human derived probiotic Lactobacillus salivariusUCC118 to achieve biologically contained transforming growth factor-beta producing commensal bacteria suitable for medical applications.","Biology"
"Inhibitor-of-Apoptosis-Proteins in cancer therapy and tumor progression: A molecular analysis","Chemistry"
"Notch dependent regulation of human vascular smooth muscle cell fate - the role of CBF-1/RBP-Jk dependent and independet signalling pathways in response to biomechanical activation.","Biology"
"New controllable capacity materials for ion analysis","Technology"
"Supramolecular Photonic Therapeutic Agents;  pH Responsive Anti-Cancer Drugs","Physics"
"Ab initio modelling of supported CeO2 thin films","Mathematics"
"Changes in the Oxidising Capacity of the Troposphere due to the Reactions of Ozone with Unsaturated Organic Compounds.","Chemistry"
"Investigation into highly potent and selective inhibitors of human butyrylcholinesterase","Technology"
"The preparation of size controlled and monodispersed nanodimensioned fluoritic oxide particles and characterisation of these to study size effects","Technology"
"Antibacterial peptide prodrugs to combat bacterial resistance to beta-lactam antibiotics","Biology"
"Organometallic molecular fragments as electronic charge control agents; the stabilisation of transient short-lived species.","Chemistry"
"The Preparation of Novel Tri- and Tetradentate Oxazoline-containing Ligands For Asymmetric Catalysis","Chemistry"
"Ligands Engaged in Geometric Organisation (LEGO): The Modular Synthesis of Porous Metal-Organic Frameworks","Chemistry"
"Molecular Wired Nanojunctions : Room Temperature Single Electron Transistors","Chemistry"
"Effects of Nitrogen on Properties and Crystallisation of Novel M-SiAlPON Glasses and their Potential as Optical Devices or Biomedical Materials","Physics"
"From pi-pi Stacking to Discotic Liquid Crystal: the Aggregating Properties of Nitrogen Heterosuperbenzenes","Others"
"Towards the development of novel therapeutics: The Targeting sequence-recognition of DNA by small heterocyclic polyamide naphthalimides and naphthalidiimides conjugates","Biology"
"Self-Assembled Photonic structures SAPHO","Physics"
"Carbon Nanotube Organometallics","Others"
"Magnetic iron oxide nanowires","Physics"
"Synthesis and Pharmacological Evalution of Compounds Related to the Pseudopterosin Family of Anti-Inflammatory Natural Products","Chemistry"
"Decoding cis-regulatory Modules in Human DNA Using Artificial Intelligence Techniques","Biology"
"Recognition of Irish Sign Language from Real-time Video","Others"
"Accounting for Dynamically Composed Services","Technology"
"Explaining Case Base Maintenance","Others"
"Learning potential folding pathways in proteins","Education"
"Development of a computational model for the description of the shape texture and dynamics of facial expression.","Technology"
"Practical Computer Programming in ACETT","Technology"
"Robust Power Control with Guaranteed Quality of Service for Wireless Networks: New Tools for Certifiable Worst Case Performance Assessment","Technology"
"SYNTHESISING CONSISTENT INSTRUMENT AND VOICE SOUNDS USING PHYSICALLY INFORMED SPECTRAL MODELS AND EVOLUTIONARY LEARNING","Education"
"Adaptive colour-texture discriminators for robust image segmentation","Others"
"Towards a foundations for pervasive computing","Technology"
"Domain-Specific Aspect-Oriented Programming for Ubiquitous Computing","Technology"
"(WSN-SPDV) Wireless Sensor Networks - Security Protocol Design and Verification","Technology"
"Evolution of a complex receptor and of genomic imprinting.","Biology"
"Functional evolutionary genomics of Arabidopsis orphan genes subject to positive or strong purifying selection","Biology"
"Evolution of competitive killing in parasitic nematodes","Others"
"An investigation into the acquisition of surprising novelty in microbes:  comparison of the nucleotide substitution versus the gene acquisition paradigms.","Technology"
"SECONDARY ORGANIC AEROSOL FORMATION FROM THE ATMOSPHERIC OXIDATION OF AROMATIC COMPOUNDS: A COMBINED LABORATORY AND FIELD APPROACH","Chemistry"
"The worm turns: unravelling the relationship between a nematode macroparasite and its insect hosts","Others"
"The aquatic-terrestrial ecotone; a neglected component of riverine invertebrate diversity in Ireland","Others"
"Isotopic and molecular studies on earthworm-microorganism interactions","Chemistry"
"The impact of nutrient enrichment on salmonid ecology in Irish streams.","Others"
"Does the diversity of primary producers affect the structure and function of animal and microbial  decomposer communities - A study using a novel experimental approach.","Biology"
"Distribution dynamics and ecophysiology of Crenarchaeota in anaerobic wastewater treatment biofilms","Biology"
"Tissue Engineered Cardiac Muscle: A Functional Biomaterials Approach","Engineering"
"A New Approach to Nanoelectronics: Electrically Configurable Circuits from Stochastically Arranged Nanocomponents","Engineering"
"Efficient wide band analysis of electromagnetic and acoustic wave-scattering problems","Physics"
"Development of  Nanoscale Mechanical Testing and its Application to Advanced Electrodeposited Metallization","Engineering"
"Particle engineering for targeted drug delivery to areas of inflammation in the lungs.","Engineering"
"THz wave generation from passively mode-locked semiconductor laser","Physics"
"Amorphous Metal Oxide Nanomembranes for CO2 Recovery at High Temperatures","Others"
"Far-field imaging below the diffraction limit: Novel technique imaging nanoparticle plasmon waveguides advancing the resolution limits in confocal microscopy","Physics"
"Controlled Drug Release from pH-sensitive Hydrogels: Experimental and Simulation Studies","Others"
"The prediction and identification problems for hysteretic multi-phase flow through porous media - an exploration of methods using a simple differential equation with hysteresis (Preisach operator)","Technology"
"Optimisation of electrode arrays for electroporation driven gene and drug delivery in-vitro and in-vivo","Biology"
"Freak waves on ocean currents","Others"
"Next Generation Noninvasive Optical Brain Computer Interface (BCI)new paragraph","Physics"
"Automated patient-specific computer simulations of the biomechanical performance of medical implants","Biology"
"Fast and Accurate Algortithms for the Simulation of Optical Signal Processing Systems","Physics"
"Molecular analysis of sialic acid metabolism genes (nan-nag) confined to Vibrio cholerae pathogenic isolatesnew paragraph","Chemistry"
"The role of IGF signals in the establishment and function of early signalling centres in the vertebrate embryo. new paragraphnew paragraph","Others"
"The influence of bile tolerance on the pathogenesis and immunogenicity of Listeria monocytogenes","Biology"
"A matter of size: an investigation of the mechanisms controlling vegetative shoot organ size in the model plant Arabidopsis thaliana","Technology"
"Applying Transgenic Zebrafish Technology to Characterise In Vivo the Molecular Regulators of Cone Photoreceptor Specification.","Chemistry"
"Dynamics of DNA double-strand break repair and the role of the vertebrate cohesin complex at an inducible break","Biology"
"Structure-function insights into flagellar protein export from a small-genome bacterium","Biology"
"An investigation into the activation and composition of the B regulon in the human pathogen Listeria monocytogenes.","Biology"
"A Molecular Investigation into the Population Dynamics and Conservation Status of the Worlds Smallest Mammal Craseonycteris thonglongyai","Chemistry"
"Fine-mapping and identification of the mutation responsible for inherited ovine arthrogryposis multiplex congenita (AMC): development of an animal model for human AMC.","Technology"
"Time-resolved fluorescence spectroscopic analysis of petroleum oils and hydrocarbon bearing fluid inclusions.","Technology"
"Geochemical impacts of microbial activity on mineral weathering reactions","Chemistry"
"Character and impact of faults propagating through soft sediment to displace the deep seafloor","Others"
"The Role of Crustal Flow in the Rift Relocation Process at Iceland","Engineering"
"Time-reversal symmetries of dynamical systems a.k.a. compositions of two involutions.","Technology"
"Computing in linear groups","Technology"
"Diophantine approximation on manifolds","Others"
"Dispersion of samples in lab-on-a-chip microfluidic devicesnew paragraph","Engineering"
"Stochastic functional differential equations with long memory","Mathematics"
"Involutions in the representation theory of groups","Mathematics"
"Geometric Interpretations of the Witt Ring of a Field","Others"
"Vertex Operator Algebras on Genus Two Riemann Surfaces","Mathematics"
"Jordan and complex analytic methods for operator spaces","Technology"
"On Background Indenepndence in String Theory","Mathematics"
"Characterizing the possible spectra of (entrywise) nonnegative matrices","Others"
"Advanced Statistical Methods for Palaeoclimate Reconstruction","Technology"
"GENERATION AND DETECTION OF LOW-FREQUENCY GRAVITATIONAL WAVES","Biology"
"Use of Power-Ultrasound in the Acceleration of Ice Nucleation and Control of Ice Crystal Distribution during Freezing of Foods","Others"
"Surface tension versus inertia in the dynamics of rivulet instability and droplet formation.","Others"
"SPIN CURRENTS IN STRONGLY CORRELATED ELECTRON SYSTEMS","Physics"
"Nanoscale magnetism in atomic wires protected by capping layers","Physics"
"Dynamic Arrest versus Crystallization","Others"
"Gamma Ray Bursts and environmental conditions in the furthest galaxies ever","Others"
"Development of a photon counting high time resolution Stokes polarimeter for astronomical observation on future large telescopes and for optical science.","Physics"
"Characterisation and verification of the optical system for theAtacama Large Millimeter Array Channel 9.","Physics"
"Probing the smallest-scale structures in quasar jets using high time resolution photometry","Others"
"Particle transport and acceleration in relativistic astrophysical jets; from microquasars to quasars.","Others"
"Advanced methods for quantum transport in molecular devices","Engineering"
"Engineering the properties of dilute nitride semiconductor heterostructures.","Engineering"
"Dynamics of the magnetization of single domain ferromagnetic particles including macroscopic quantum tunneling","Physics"
"Industrial Supplement - Construction & Development of a new prototype measles-mumps-rubella vaccine based on recombinant RNA","Biology"
"Role of Progenitor Cells in Biology and Treatment of Atherosclerosis","Biology"
"Probabilistic Solutions to the Problem of Computerised Translation","Technology"
"The fate molecular transitions and influence on climate change of Terrestrial Organic Carbon in coastal sediments.","Chemistry"
"Towards understanding Archean tectonic processes through electromagnetic imaging","Engineering"
"Control of endogenous analgesia by the brain endocannabinoid system: sites and mechanisms of action","Biology"
"Time-frequency/time-scale analysis sparse signal representation theory and finite field theory for signal processing applications","Engineering"
"Industrial Supplement  for underlying grant titled Impact of hypoxia on cAMP-dependent pro-inflammatory gene expression in epithelial cells","Biology"
"Genomic analysis of Vibrio vulnificus: Identification of genomic islands that mark pathogenic clones","Biology"
"Intestinal epithelial damage repair and carcinogenesis","Biology"
"CSET BDI: Centre for Future Diagnostics & Health (CFDH) renamed Biodmedical Diagnostics Institute","Biology"
"High Dielectric Constant Materials for Future ICT","Technology"
"A new class of chiral organocatalyst for asymmetric reactions involving acyl anion equivalents","Chemistry"
"Utility-Based Models for Terminal-Oriented Handover in Heterogeneous Wireless Networks","Technology"
"Gene gains losses and relocations during vertebrate evolution","Biology"
"Supplement - In situ Transmission Electron Microscopy Characterisation of Microstructural Evolution in Electrodeposited Copper Metalization for Microelectronic Components of ICT systems","Technology"
"CSET ISERC: Irish Software Engineering Research Centre (ISERC)","Engineering"
"The role and regulation of bacterial capsular polysaccharide in the pathogenesis of Campylobacter infection","Biology"
"Interoperability of geographic Information: The Spatial Web","Technology"
"Q-base; an essential nutrient for tyrosine biosynthesis.  Implications for the disease phenylketonuria and transfers RNA biology","Biology"
"Characterization of the proteome and transcriptome of Leptospira during acute and chronic infection.","Biology"
"Topological Phases and Topological Quantum Computation","Technology"
"Design Methodology for Next-Generation Fractional-N Frequency Synthesizers","Engineering"
"Molecular investigation of host and parasite-encoded factors involved in viral entry into Gram-positive bacteria","Chemistry"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"Tyndall National Institute: National Access Programme (Year 2)","Policy"
"Tyndall National Institute: Capital Programme Year 2","Policy"
"A National Centre for High-End Computing","Technology"
"A National Centre for High-End Computing","Technology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"General Supplement","Biology"
"NA","Others"
"Systems and Algorithms for protein identification and quantification","Technology"
"Pharmacophore linkage of oligopeptide motifs to drugs","Biology"
"Systems Biology Stage 11: From pathway modelling to an integrated systems biology infrastructure","Engineering"
"Microfabricated Separation Based Sensors for Biotechnology Applications","Technology"
"Irish Population Genomics: A Foundation for Pharmacogenomic and Complex Disease Research","Biology"
"International Conference on Common Molecular Mechanisms of Mammary Gland Development and Breast Cancer Progression","Policy"
"Investigation of optical feedback into photonic bandgap devices","Physics"
"SMART: Simulation and Modelling techniques for Application in Radio frequency Technology","Technology"
"The interaction of Helicobacter pylori with trefoil peptides and the gastric mucus layer - a model system for the study of mucus interacting pathogens","Biology"
"Mediators and regulators of ER stress induced apoptosis","Others"
"Functional characteristics of Rab11 and the Class I Rab11-FIPs in endosomal trafficking and cancer","Biology"
"Purification and proteomic characterisation of lipid raft-associated serotonin transporter complexes from blood platelets","Biology"
"Assembly of centromeric chromatin and gene silencing comparments","Biology"
"Microfabricated analytical systems for bioanalysis","Technology"
"Ferroic Nano-Structures for Data Storage Applications: Fundamentals of Recording Media and Transducer","Technology"
"Development of techniques for biomechanical measurement of valvular regions in the luminal organs of the gastrointestinal tract","Engineering"
"Development of algorithms to post-process measurement data for ADC test and verification","Technology"
"CSET Supplement for CRANN : Development of a transparent flexible highly conductive CNT/polymer composite thin film technology.","Chemistry"
"Synthesis of castanospermine analogues for evaluation as angiogenesis inhibitors","Chemistry"
"Full length cloning of differentially expressed transcripts from biopharmaceutical producation cell lines","Biology"
"Institute Development Award","Technology"
"Institute Development Award","Technology"
"Institute Development Award","Technology"
"Nanoscale Interfaces and Spin Electronics","Physics"
"Regulation of endoplasmic reticulum (ER) stress-induced apoptosis and unfolded protein response (UPR) by Bcl-2 family members","Policy"
"Novel Agents for Photodynamic Therapy-Based Treatment of Cancer: Pre-Clinical and Mechanistic Studies","Biology"
"The role of mitochondria in signalling pathways activated in neuronal cell hypoxia.","Biology"
"Rational design of dual targetting anticancer agents - novel ligands for HSP90 and Tubulin","Engineering"
"Understanding factors that influence lymphocyte and virus trafficking at the blood-brain barrier in early lentiviral infections; fundamental issues in the development of therapeutic strategies for CNS infection.","Biology"
"Endoplasmic reticulum stress as a component of ischemia-induced oligodendrocyte death.","Others"
"Enantioselective Carbolithiation Cascade Reactions","Chemistry"
"Combinatorial Photochemistry - A new tool in drug development","Chemistry"
"The development of an automated in vitro screening system for detection of endocrine disrupting potential on reproductive and cognitive function.","Technology"
"Surface Plasmon Excited Nanolight Sources","Others"
"Molecular dissection of the sphingolipid-signalling system in stomatal guard cells of Arabidopsis thaliana","Chemistry"
"Development of a nuclear magnetic resonance imaging technique for the accurate detection and quantification of tissue sodium concentration in animal models of disease.","Physics"
"The determination of charge state energy and angular distributions of ions emitted from laser produced plasma based EUV sources.","Physics"
"Advanced nanowire-polymer composites for efficient solar energy harvesting","Chemistry"
"Empirical exploration of timing in ACETT","Others"
"Studies of the function of presenilin proteins and Alzheimers disease","Biology"
"Galaxy Formation and Evolution in the Early Universe:  the Kinematic and Dynamic Structure of Galactic Outflows","Others"
"Identification of unique signaling-protein interactions with mucin adhesion receptors for the development of novel anti-thrombotic and anti-inflammatory therapeutics.","Biology"
"Genetic screens for cone photoreceptor determinants","Biology"
"Immunohistochemical analysis of site directed neuronal injury in organotypic hippocampal slices following ischemia","Biology"
"New nanostructures for biosensing","Others"
"Iterative solver change and associated computational efficiency analysis","Technology"
"Observing Neutron stars and Black Holes from the Classroom","Others"
"Pathogenic mechanisms of Leptospirosis","Biology"
"Current Induced magnetisation switching in GMR nano-pillar with perpendicular magnetisation","Others"
"Supplement to The Function of Nanoscale Complex Systems","Physics"
"Photonic Opaline Systems","Physics"
"Modelling mitochondrial function in the nerve terminal","Mathematics"
"Optics for Terahertz technology: Application in medical imaging and the validation of CAD software tools","Technology"
"System validation testing for computer aided design in CAD-CTC","Technology"
"Identification of virulence protein domains required for protein protein interaction","Biology"
"A major component of the CTVR outreach programme has been the development of a high impace animated television series called  The Resistors which is due to be broadcast on RTE in Oct 2006","Technology"
"Analysis of Pge-1 Regulation of Glut4 Gene Expression in Skeletal Muscle Cells","Policy"
"Application of LIVE Technologies to Neuroscience Discovery Research : Comparative studies in energy metabolism and D-serine monitoring in the brain","Biology"
"Development and testing of resource award QoS routing algorithms for IEEE 802.11 WLAN Mesh networks","Technology"
"Infinite Dimensional Complex Analysis","Technology"
"Mesenchymal Stem Cells in Tissue Regeneration","Biology"
"GST activity in GM and WT bacterial endophytes: enhancement of phtyoremidiation of chlorinated pollutants","Biology"
"Organometallic allenes: synthesis characterisation and dimerisation to tetracenes","Chemistry"
"The brown dwarf companion in the binary millisecond pulsar IGR 00291+5934","Others"
"Does BG Gem hide a Black Hole","Others"
"Observing Neutron stars and Black Holes from the Classroom","Others"
"Third China-Ireland research collaberation fund","Technology"
"Nanopharmacology in platelet research: Focus on nitric oxide & matrix metalloproteinases","Biology"
"Quantum Engineering for Quantum Information Technologies","Engineering"
"Molecular Mechanisms of Epithelial Ion Transport","Chemistry"
"PICA - Principal Investigator Career Advancement Investigation into NK cell receptor recognition of pathogen","Biology"
"Synthesis and evaluation of pH responsive anti-cancer agents","Chemistry"
"Colour texture analysis","Technology"
"Development of methods for the analysis of condon compositional anomalies in genomic data","Biology"
"Permselective cluster size distributions from molecular dynamics","Chemistry"
"Development of methodologies for studying proton transport in pH-sensitive hydrogels using molecular simulation techniques","Chemistry"
"A genetic approach to investigate the interaction between a protein disaggregase and a prion","Biology"
"Programme for the encouragement and training of undergraduate students to pursue careers in infectious disease research","Biology"
"UREKA Site - Trinity College Sami Nasr Institute for Advanced Materials in ICT","Technology"
"Photoactivated Coupling of Nanoparticle / Carbon Nanotube Multilayers and Nerve Cells","Biology"
"Towards determining the function of human sterile alpha and HEAT/armadillo motif protein (SARM) in the immune response","Biology"
"Assigning new roles to familiar proteins - the role of Btk and Ro52 in the molecular events associated with SLE","Chemistry"
"Adeno-Associated Virus as a vector for immune gene therapy of solid tumours.","Biology"
"AntiMRSA Phage therapy alternatives for controlling MRSA.","Biology"
"Targeting novel vascular progenitor cells in the treatment of pulmonary hypertension","Biology"
"Development of protease-resistant IGFBP4 as a therapy for breast cancer","Technology"
"The cardioprotective role of heat shock protein 27 (hsp27): A proteomic analysis","Biology"
"A New Route to P-Stereogenic Phosphines to provide Ligands for Catalytic Asymmetric Grignard Reactions","Chemistry"
"Conformationally Designed Tetrapyrroles for Applications in Nonlinear Optics (POR-NLO)","Engineering"
"A photophysical investigation of electron transfer and a photochemical study of photo-oxidation of guanine tetramers in DNA and in supramolecular assemblies.","Chemistry"
"Nanoparticles-luminophore conjugates - their use as biosensors and in self-assemblying nanostructured arrays","Technology"
"Stem cells in basal metazoans: the interstitial cell inventory of a marine cnidarian","Biology"
"Fine scale mapping and identification of a major coeliac disease susceptibility gene on chromosome 5q.","Biology"
"Major global climate fluctuations recorded at low latitude on the Indian Ocean margin during the Paleogene (65-24 million years ago)","Biology"
"Aggregation segregation and collective motion of swimming organisms and cells in flows","Biology"
"Molecular Nanoarchitectures: Assembly and Demonstration of Electro- and Photo-gated Electronic Functionality","Chemistry"
"Multifrequency Polarisation Observations of the Cosmic Microwave Background","Others"
"Relativistic Outflows in Active Galactic Nuclei on Scales from Tenths to Tens of Light Years","Others"
"Protecting nanowires grown on planar silicon","Others"
"Phytotechnology Ireland","Technology"
"Microbe-Host Interaction: The Molecular Dialogue","Chemistry"
"Explorations from gene to protein function","Biology"
"SPUR - Summer Programme in Undergraduate Research Biomedical research","Biology"
"DiaMonD - Diagnostics for Montoring Disease","Biology"
"FASATNET - From Atoms to Systems","Technology"
"Protein interactions with nanoparticles and in cellular signaling.","Biology"
"Characterisation of a novel player in the genetic switch of a lactococcal bacteriophage","Biology"
"Functional genomic approaches to elucidate novel bacterial gene modulating microbial-host interactions","Biology"
"Epigenetics of parthenogenetic reproduction suing apomictic nematodes","Biology"
"Role of Rmb3 in IGF-1 signalling through the mTOR pathway","Others"
"Generation of microarray & bioinformatics workflows","Biology"
"Assessment of the abiligy of b-adrenoceptor antagonists to exacerbate the neuroinflammatory response to a peripheral inflammatory challenge","Biology"
"Cloning and producation of propeptides from SpeB homologues","Biology"
"Use of surface plasmon resonance techniques to determine the affinity of specific point mutations of Spi for SpeB","Others"
"Time-resolved luminescence spectroscopy of solvated sodium anions in the solid rare gases","Physics"
"High-resolution multi-frequency studies of the complex active galactic nuclues 1749+701","Others"
"Comparison of the effect of different processing methods on carotenoid bioaccessibility from a range of vegtables","Engineering"
"Comparison of the effect of different meal combinations on carotenoid bioaccessibility from a range of vegetables","Others"
"Investigating the origin of electrically active interface states in HfO2/Si (100) structures formed by e-beam and ion assisted e-beam evaporation","Engineering"
"A new tridentate oxazoline-containing ligand for asymmetric catalysis","Chemistry"
"Hsp140 and prion propagation","Others"
"Expression & functional analysis of a novel flagellar gene from H. pylori","Technology"
"The pertology fluorescence and microthermometry of hydrocarbon bearing fluid inclusions","Physics"
"Investigation of bacterial viruses as sources of novel antibodies.","Biology"
"Design and consturction of an RF circuit for real-time differentiation between plasma chamber hardward and plasma process","Engineering"
"Isolation and characterisation of miRNA expression in CHO-K1 Cells","Biology"
"Outsourcing Software Development from Ireland","Technology"
"Enabling High Speed Optical Fibre Communication Systems","Physics"
"Effect of MDMA (Ecstasy) administration on neuroinflammation in response to a peripheral immunological challenge","Biology"
"Fluoxetine-induced 5-HT2 receptor down-regulation following MDMA (Ecstasy) - induced 5-HT nerve terminal loss","Policy"
"A study of the mechanisms underlying the toxic properties of cannabis in the central nervous system.","Technology"
"Anti-inflammatory actions of antidepressants in the CNS: A role for phospholipase A2 inhibition","Biology"
"Gene Delivery to Tumours Using Bifidobacteria","Biology"
"The reversible maps problem","Others"
"Imaging Quality of the Human eye","Physics"
"Bioinformatics of pathogenic Leptospira species","Biology"
"Mapping mobile phone coverage using GPS & GIS Technologies","Others"
"Exploring the Physics of semiconductor laser technology","Physics"
"Random mutagenesis of nisin a single peptide lantibiotic","Biology"
"Electron Quantum Waves in Semiconductors","Physics"
"Environmental screening for bacteriophages","Others"
"A Graphical Experimental workbench built on distributed computing technology","Technology"
"Carrier interaction with concentration fluctuations in semiconductor alloys","Physics"
"An introduction to erbium doping in optical fibre systems","Physics"
"Numerical solution of stochastic differential equations","Mathematics"
"Random number generatin algorithms","Technology"
"Analysis of the role of natural killer cells in inducing the age-related increase in IFN-g in brain","Biology"
"Enabling High Speed Optical Fibre Communication Systems","Physics"
"Investigation of the effect of ethanol stress on biofilm formation in a rotating disk bioreactor","Technology"
"Bioimaging of fluorescent protein-tagged sphingolipid metabolising enzymes in plants","Biology"
"Synthesis of benzothiazole ligans for the peroxisome proliferator activated receptor - d (PPAR-d)","Chemistry"
"A systematic test suite for ACETT","Technology"
"Secondary organic aerosol formation from the atmospheric oxidation of isoprene","Others"
"Sexual strategies in Steinernema nematodes","Others"
"The study or organic matter along the River Shannon","Technology"
"Creation of Lux-promoter fusions in Listeria monocytogenes to facilitate analysis of bacterial localisation and gene expression in repsonse to bile stress","Biology"
"Investigating behavioural and hypothalamo-pituitary-adrenal axis correlates of endocannabinoid-mediated fear-induced analgesia.","Biology"
"Development of a phylogenetic toolbox for analysis of genes essential to reproduction and seed development in Arabidopsis thaliana","Biology"
"The  verification of CAD software tools for terahertz optics","Technology"
"Laboratory measurements of biological tissue using terahertz imaging","Biology"
"Construction and development of a new prototype measles-mumps-rubella vaccine based on recombinant RNA","Biology"
"Modeling Protein Structural Variability","Mathematics"
"Does Bordetella pertussis generate CD8+ regulatory T cells","Biology"
"Candidate approach to centrosome phosphoprotein identification after DNA damage","Biology"
"Exploring how the viral protein E3L inhibits the human immune response.","Biology"
"The introduction and expression of DNA in the chick embyro following in ovo electroporation","Biology"
"Time-dependent electron transport in nanostructures","Others"
"Calculation of the phonon spectrum of MoSI nanotube bundles","Others"
"Optimisation of enzyme kinetics on biosensor surfaces","Biology"
"Outsourcing Software Development from Ireland","Technology"
"Portolio analysis using the method of minimal spanning trees","Technology"
"Modification of thin organic interlayers fo the current-voltage characteristics of inorganic semiconductor-metal Schottky diode interfaces","Physics"
"Exploring the ancient RNA world for substrates of guanine transglycoslyase enzymes","Biology"
"Synthetic studies on the pseudopterosins","Others"
"Jordan and comples analytical methods for operator spaces","Technology"
"Using RT-PCR to examine changes in expression of BDNF and its receptor in consolidation of recognition memory in the rat hippocampus","Biology"
"Web-based interactive tests of social behaviour emotion and cognition and an illustration of their impairment in autism.","Technology"
"Deriving a spatial Decision Support System for Investigating the Location of Surnames in Ireland","Technology"
"Experimental study of flow-noise interaction during acoustic resonance of two inline clyinders in a duct","Technology"
"Air jet cooling of brake discs","Others"
"Transglutaminase crosslinking of collagen-GAG scaffolds","Others"
"Cell death controlled by inhibitor of apoptossi proteins (IAPs): characterisation of post-mitotic neuronal cells and IAP overexressing cancer cells","Biology"
"Web-based interactive tests of social behaviour emotion and cognition and an illustration of their impairment in autism.","Technology"
"The function of Nanoscale Complex Systems","Physics"
